instnm,Institution (entity) name (HD2018),Institution name alias (HD2018),Address,City location of institution (HD2018),State abbreviation (HD2018),ZIP code (HD2018),Total price for in-state students living on campus 2018-19 (DRVIC2018),Total price for in-state students living off campus (not with family)  2018-19 (DRVIC2018),Total price for out-of-state students living off campus (not with family)  2018-19 (DRVIC2018),Total price for in-state students living off campus (with family)  2018-19 (DRVIC2018),Number of students receiving a Doctor's degree (DRVC2018),Number of students receiving a Master's degree (DRVC2018),Number of students receiving a Bachelor's degree (DRVC2018),Number of students receiving an Associate's degree (DRVC2018),Graduation rate,Percent of full-time first-time undergraduates awarded any financial aid (SFA1718),Average amount of aid awarded,Applicants total (ADM2018),Admissions total (ADM2018),Enrolled total (ADM2018)
ECPI University,ECPI University,ECPI,5555 Greenwich Rd,Virginia Beach,VA,23462,,28795,28795,20125,0,112,1236,1833,49,88,6661,5548,4006,1514
Edgewood College,Edgewood College, ,1000 Edgewood College Drive,Madison,WI,53711-1997,44216,43510,43510,33610,37,172,397,0,63,99,15525,1560,1137,255
EDIC College,EDIC College, ,ANGORA INDUSTRIAL PARK BUILDING G ANGORA AVENUE,Caguas,PR,00725-0000,,14703,14703,9975,0,0,14,276,42,95,5611,653,635,466
Edinboro University of Pennsylvania,Edinboro University of Pennsylvania,Edinboro,219 Meadville Street,Edinboro,PA,16444-0001,25600,25600,29648,14774,0,468,836,121,45,92,6685,2325,1860,589
EDP University of Puerto Rico Inc-San Juan,EDP University of Puerto Rico Inc-San Juan,EDP University of PR Inc.,560 Ponce de Leon Ave.  Cr. Arroyo St.,San Juan,PR,00919-2303,,17690,17690,10950,0,30,108,362,35,89,6594,668,573,157
EDP University of Puerto Rico Inc-San Sebastian,EDP University of Puerto Rico Inc-San Sebastian,EDP,Betances # 49,San Sebastian,PR,685,,17690,17690,10950,0,33,89,223,18,92,5946,203,173,156
EDP University of Puerto Rico-Villalba,EDP University of Puerto Rico-Villalba, ,Road #149  Km. 54.2 Barrio Villalba Arriba,Villalba,PR,00766-2353,,17690,17690,10950,0,0,0,1,,,,69,69,5
Edward Waters College,Edward Waters College, ,1658 Kings Rd,Jacksonville,FL,32209,25083,26283,26283,17801,0,0,121,0,20,100,12728,3617,2009,331
Elaine Sterling Institute,Elaine Sterling Institute, ,4840 Roswell Road NE Bldg E Ste 201,Sandy Springs,GA,30342-2633,,,,,,,,0,83,97,3372,211,188,123
Elim Bible Institute and College,Elim Bible Institute and College,Elim,7245 College Street,Lima,NY,14485-9704,18334,19164,19164,11984,,,,25,55,91,6337,61,59,32
Elizabeth City State University,Elizabeth City State University,ECSU,1704 Weeksville Rd,Elizabeth City,NC,27909,12960,12568,16568,5044,0,17,244,0,42,99,11303,2486,1474,418
Elizabethtown College,Elizabethtown College, ,One Alpha Drive,Elizabethtown,PA,17022-2298,60460,56206,56206,49290,0,55,362,0,73,100,29827,2010,1522,386
Elizabethtown College School of Continuing and Professional Studies,Elizabethtown College School of Continuing and Professional Studies, ,One Alpha Drive,Elizabethtown,PA,17022-2298,,,,,0,43,108,25,,,,6,6,5
Elmhurst College,Elmhurst College, ,190 Prospect Ave,Elmhurst,IL,60126-3096,51199,47400,47400,42399,0,244,754,0,63,100,23331,4219,2842,530
Elmira College,Elmira College,EC,One Park Place,Elmira,NY,14901,55050,45550,45550,44550,0,37,291,9,68,100,29853,2110,1782,206
Elon University,Elon University, ,100 Campus Drive,Elon,NC,27244-2010,51049,51049,51049,38469,159,124,1368,0,83,74,14528,10729,7740,1698
Embry-Riddle Aeronautical University-Daytona Beach,Embry-Riddle Aeronautical University-Daytona Beach,Embry Riddle Aeronautical University-Daytona Beach,600 S Clyde Morris Blvd,Daytona Beach,FL,32114-3900,53250,53250,53250,41812,6,196,996,58,61,97,19125,6017,3941,1418
Embry-Riddle Aeronautical University-Prescott,Embry-Riddle Aeronautical University-Prescott,Embry Riddle Aeronautical University-Prescott,3700 Willow Creek Road,Prescott,AZ,86301-3720,53046,53046,53046,41652,0,24,427,0,65,96,17633,2859,1922,609
Embry-Riddle Aeronautical University-Worldwide,Embry-Riddle Aeronautical University-Worldwide,Embry Riddle Aeronautical University-Worldwide,600 S. Clyde Morris Blvd.,Daytona Beach,FL,32114-3900,,23464,23464,14820,6,1165,1390,501,19,60,4022,1608,1020,579
Emerson College,Emerson College, ,120 Boylston Street,Boston,MA,02116-4624,68392,66452,66452,51070,0,266,944,0,79,80,19098,12941,4612,923
Emmanuel College,Emmanuel College, ,400 The Fenway,Boston,MA,2115,58153,58153,58153,43789,0,63,399,0,66,100,23294,5770,4443,596
Emmanuel College,Emmanuel College, ,181 Springs St,Franklin Springs,GA,30639,31592,33792,33792,24992,0,0,122,24,43,97,12357,1089,457,247
Emmaus Bible College,Emmaus Bible College, ,2570 Asbury Rd,Dubuque,IA,52001-3096,29150,25330,25330,20380,0,0,40,6,76,100,11523,118,112,47
Emory & Henry College,Emory & Henry College, ,30461 Garnand Drive,Emory,VA,24327-0947,50800,46100,46100,39100,28,16,193,0,60,100,28710,1660,1154,268
Emory University,Emory University, ,408 Administration Building  201 Dowman Drive,Atlanta,GA,30322,69502,69502,69502,54996,823,1626,2000,0,90,58,40146,27559,5104,1431
Emory University-Oxford College,Emory University-Oxford College, ,801 Emory Street,Oxford,GA,30054,68470,68470,68470,54996,,,,466,94,63,36938,16620,4146,533
Emporia State University,Emporia State University,ESU |E-State,1 Kellogg Circle,Emporia,KS,66801-5415,20088,20088,34005,11178,3,697,738,0,45,98,6195,1648,1406,658
Endicott College,Endicott College, ,376 Hale Street,Beverly,MA,1915,51674,47549,47549,36398,20,482,779,29,76,95,14412,3598,2896,765
Erie 1 BOCES,Erie 1 BOCES, ,355 Harlem Rd,West Seneca,NY,14224,,,,,,,,0,95,97,4387,609,105,87
Erie 2 Chautauqua Cattaraugus BOCES-Practical Nursing Program,Erie 2 Chautauqua Cattaraugus BOCES-Practical Nursing Program,E2CCB,8685 Erie Rd,Angola,NY,14006,,,,,,,,0,83,100,4917,83,31,24
Erskine College,Erskine College,Erskine College and Seminary,2 Washington St,Due West,SC,29639,53500,52550,52550,50050,2,16,96,0,61,100,16664,910,530,204
Escuela de Artes Plasticas y Diseno de Puerto Rico,Escuela de Artes Plasticas y Diseno de Puerto Rico,EAPD,Barrio Ballaja Campo Del Morro,San Juan,PR,00902-1112,,17642,19802,7262,0,0,51,0,38,81,5287,82,77,69
Eureka College,Eureka College, ,300 E. College Avenue,Eureka,IL,61530,37010,39110,39110,29490,0,0,162,0,54,100,14243,817,468,140
Evangel University,Evangel University, ,1111 N Glenstone,Springfield,MO,65802-2125,37374,34554,34554,29244,35,87,318,37,51,100,14513,1142,904,372
Everglades University,Everglades University, ,5002 T-Rex Avenue  Suite 100,Boca Raton,FL,33431,,36248,36248,25120,0,105,283,0,59,77,5177,1439,998,589
Fairfield University,Fairfield University, ,1073 N Benson Rd,Fairfield,CT,06824-5195,65940,65940,65940,51780,39,383,991,0,81,91,24034,11361,6851,1091
Fairleigh Dickinson University-Florham Campus,Fairleigh Dickinson University-Florham Campus,FDU,285 Madison Ave,Madison,NJ,7940,60644,57803,57803,47228,65,219,592,0,54,100,33361,4838,4083,673
Fairleigh Dickinson University-Metropolitan Campus,Fairleigh Dickinson University-Metropolitan Campus,FDU,1000 River Rd,Teaneck,NJ,7666,58188,55393,55393,44818,37,946,835,55,46,99,35323,4703,4197,605
Fairmont State University,Fairmont State University,Fairmont State   Fairmont State College,1201 Locust Ave,Fairmont,WV,26554-2470,19518,19518,28328,11014,0,96,653,99,36,92,7771,2409,2283,840
Faith Baptist Bible College and Theological Seminary,Faith Baptist Bible College and Theological Seminary,FBBC&TS  FBBC,1900 NW 4th St,Ankeny,IA,50023-2152,28115,28115,28115,21315,0,10,34,23,51,93,12757,175,109,80
Faith Theological Seminary,Faith Theological Seminary, ,529 Walker Avenue,Baltimore,MD,21212-2624,,30660,30660,16860,3,5,12,0,,100,4982,6,3,2
Farmingdale State College,Farmingdale State College,SUNY College of Technology at Farmingdale,2350 Broadhollow Road,Farmingdale,NY,11735-1021,24744,26849,36629,12656,0,0,1793,260,50,74,8057,7500,3455,1345
Fashion Institute of Technology,Fashion Institute of Technology,FIT,227 W 27th St,New York,NY,10001-5992,24220,29708,39488,12440,0,65,1751,1933,78,73,6555,4507,2374,1342
Faulkner University,Faulkner University,Faulkner,5345 Atlanta Hwy,Montgomery,AL,36109-3390,35440,36190,36190,28190,87,190,533,19,28,100,12594,2671,1396,274
Fayetteville State University,Fayetteville State University, ,1200 Murchison Rd,Fayetteville,NC,28301-4298,16802,16802,28410,8175,8,160,1002,0,35,94,10274,4130,2803,618
Felician University,Felician University, ,262 S Main St,Lodi,NJ,7644,51550,51200,51200,39660,0,116,370,1,46,100,29078,2267,1826,288
Ferris State University,Ferris State University, ,1201 S State St,Big Rapids,MI,49307-2251,23194,22726,22726,14300,179,160,2563,830,49,97,9384,10284,8320,1882
Ferrum College,Ferrum College, ,215 Ferrum Mountain Road,Ferrum,VA,24088-9000,48530,48530,48530,36655,0,0,193,0,27,100,24415,3927,2961,425
FIDM-Fashion Institute of Design & Merchandising-Los Angeles,FIDM-Fashion Institute of Design & Merchandising-Los Angeles,FIDM LA,919 S Grand Ave,Los Angeles,CA,90015-1421,,53533,53533,38979,0,0,257,963,66,75,9151,1371,712,436
FIDM-Fashion Institute of Design & Merchandising-Orange County,FIDM-Fashion Institute of Design & Merchandising-Orange County,FIDM-OC,17590 Gillette Avenue,Irvine,CA,92614-5610,,53541,53541,38979,,,8,30,66,84,10102,123,82,45
FIDM-Fashion Institute of Design & Merchandising-San Diego,FIDM-Fashion Institute of Design & Merchandising-San Diego,FIDM-SD,350 Tenth Avenue  Third Floor,San Diego,CA,92101-4903,,53541,53541,38979,,,,7,66,86,8786,104,61,36
FIDM-Fashion Institute of Design & Merchandising-San Francisco,FIDM-Fashion Institute of Design & Merchandising-San Francisco,FIDM-SF,55 Stockton St,San Francisco,CA,94108-5805,,53541,53541,38979,0,0,22,98,66,89,9195,130,60,29
Finger Lakes Health College of Nursing,Finger Lakes Health College of Nursing, ,196 North Street,Geneva,NY,14456-1651,,21595,21595,13275,,,,46,0,86,3393,6,6,4
Finlandia University,Finlandia University, ,601 Quincy St,Hancock,MI,49930-1832,36088,36158,36158,27858,0,0,44,25,31,100,10095,1511,484,104
Fisher College,Fisher College, ,118 Beacon Street,Boston,MA,2116,52510,46584,46584,36584,0,22,224,97,24,97,21781,2402,1616,234
Fisk University,Fisk University, ,1000 17th Ave North,Nashville,TN,37208-4501,37070,37070,37070,26280,0,9,132,0,44,93,11802,1894,1354,293
Fitchburg State University,Fitchburg State University,Fitchburg State,160 Pearl St,Fitchburg,MA,01420-2697,24576,19934,26014,13854,0,426,821,0,61,90,6975,3234,2810,715
Five Towns College,Five Towns College, ,305 North Service Road,Dix Hills,NY,11746-5871,38880,44880,44880,26280,1,14,114,9,51,93,10363,707,292,142
Flagler College-St Augustine,Flagler College-St Augustine,Flagler,74 King Street,Saint Augustine,FL,32084,34990,33250,33250,23650,0,5,629,0,56,97,9229,4858,2752,653
Flashpoint Chicago A Campus of Columbia College Hollywood,Flashpoint Chicago A Campus of Columbia College Hollywood,Flashpoint Chicago,28 North Clark Street,Chicago,IL,60602-2716,,44604,44604,35454,0,0,6,45,87,92,6742,176,175,98
Flint Institute of Barbering Inc,Flint Institute of Barbering Inc,F.I.B. |The Flint Barber College,3214 Flushing Road,Flint,MI,48504-4395,,,,,,,,0,64,100,8518,32,25,17
Florida Agricultural and Mechanical University,Florida Agricultural and Mechanical University,FAMU|Florida A&M University|Florida A&M University |Rattlers|FAMU Rattlers,1500 S Martin Luther King Jr Blvd,Tallahassee,FL,32307,23207,23009,34949,13313,340,303,1254,40,51,95,8532,8976,3488,1372
Florida Atlantic University,Florida Atlantic University,FAU,777 Glades Rd  Administration Bldg.  Room 339,Boca Raton,FL,33431-0991,24235,24889,37334,13455,204,1573,5762,229,52,81,10143,17120,10156,3163
Florida College,Florida College, ,119 N Glen Arven Ave,Temple Terrace,FL,33617,30062,31642,31642,20642,0,0,65,93,58,98,8606,331,244,206
Florida Gulf Coast University,Florida Gulf Coast University, ,10501 Fgcu Blvd S,Fort Myers,FL,33965-6565,20390,20390,39434,10718,34,286,2652,314,48,75,5435,14702,9545,2902
Florida Institute of Technology,Florida Institute of Technology,Florida Tech,150 West University Boulevard,Melbourne,FL,32901-6975,59530,59530,59530,49470,78,1001,752,4,60,95,24590,9313,6057,784
Florida International Training Institute,Florida International Training Institute, ,7265 Northwest 25th Street,Miami,FL,33122-1707,,,,,,,,0,81,98,2700,48,37,20
Florida International University,Florida International University,FIU,11200 S. W. 8 Street,Miami,FL,33199,23496,25834,38242,15614,549,3116,10261,42,58,89,9973,19410,11366,4441
Florida Memorial University,Florida Memorial University, ,15800 NW 42 Avenue,Miami Gardens,FL,33054-6199,29812,33536,33536,22936,0,25,214,0,36,99,11232,5200,1726,341
Florida Polytechnic University,Florida Polytechnic University,Florida Poly,4700 Research Way,Lakeland,FL,33805-8531,21570,21570,21570,10140,0,8,197,0,,100,8889,1437,728,314
Florida Southern College,Florida Southern College,Florida Southern|FSC,111 Lake Hollingsworth Dr,Lakeland,FL,33801-5698,52020,52000,52000,40350,11,155,564,0,64,100,23138,7254,3644,707
Florida State University,Florida State University,Florida State|F.S.U.|FSU|F. S. U.|Fla. State University|Fla. State|Fl State University|Fl State|FL State University|FL State|Seminoles|Noles|Florida State Seminoles|Florida State University Seminoles|Fl. State|Fl. State University|The Florida State University|Floridia State University|Florda State University|Florida State Univerisity|Flordia State University|Florida State Unversity|,222 S. Copeland Street,Tallahassee,FL,32306-1037,22168,22168,35298,11502,754,2096,8627,183,83,96,8620,50314,18504,6324
Fontbonne University,Fontbonne University, ,6800 Wydown Blvd,Saint Louis,MO,63105-3098,41982,41676,41676,33678,0,220,213,0,63,99,16911,706,575,183
Fordham University,Fordham University, ,441 E Fordham Rd,Bronx,NY,10458,74265,68701,68701,56501,497,2266,2205,0,83,89,29468,46308,21313,2299
Fort Hays State University,Fort Hays State University,FHSU,600 Park St,Hays,KS,67601-4099,18048,18048,28128,8144,6,842,2852,98,44,98,4760,2191,2022,996
Fort Lewis College,Fort Lewis College,FLC,1000 Rim Drive,Durango,CO,81301-3999,25428,24172,34828,12930,0,8,679,0,44,93,11637,4198,3817,756
Fort Valley State University,Fort Valley State University, ,1005 State University Dr,Fort Valley,GA,31030-4313,21530,16658,29738,8658,0,112,333,0,28,98,7303,3217,1971,467
Fosbre Academy of Hair Design,Fosbre Academy of Hair Design, ,111 Capitol Way N,Olympia,WA,98501-1018,,,,,,,,0,,99,3618,150,139,95
Fox College,Fox College, ,6640 S. Cicero,Bedford Park,IL,60638,,24549,24549,18749,,,,248,76,96,6149,107,74,29
Framingham State University,Framingham State University, ,100 State Street,Framingham,MA,01701-9101,27510,27510,33590,19204,0,472,915,0,56,94,7020,5706,4182,767
Francis Marion University,Francis Marion University, ,4822 East Palmetto Street,Florence,SC,29506,24854,24852,35364,16641,0,86,563,0,39,100,8948,4200,2696,762
Franciscan Missionaries of Our Lady University,Franciscan Missionaries of Our Lady University,Franciscan University  FranU,5414 Brittany Dr,Baton Rouge,LA,70808,,33413,33413,18527,22,32,187,47,35,95,9755,250,148,83
Franciscan University of Steubenville,Franciscan University of Steubenville,Franciscan|Steubenville,1235 University Blvd,Steubenville,OH,43952-1763,39200,36290,36290,30890,0,178,488,41,77,99,11362,2100,1619,576
Franklin and Marshall College,Franklin and Marshall College,Franklin & Marshall College|Franklin & Marshall|Franklin and Marshall|F&M|FandM,College Ave,Lancaster,PA,17604-3003,73070,73070,73070,61426,0,0,555,0,83,66,47304,6557,2316,611
Franklin College,Franklin College,Franklin College of Indiana,101 Branigin Blvd,Franklin,IN,46131-2623,46156,47210,47210,38010,0,6,240,0,61,100,21074,1869,1410,272
Franklin Pierce University,Franklin Pierce University,Franklin Pierce College  Franklin Pierce  FPU  Pierce,40 University Drive,Rindge,NH,03461-0060,53745,54745,54745,41400,81,131,369,20,50,100,22340,5240,3464,456
Franklin W Olin College of Engineering,Franklin W Olin College of Engineering,Olin College of Engineering,1000 Olin Way,Needham,MA,02492-1200,71950,,,,0,0,86,0,93,100,37605,878,138,84
Freed-Hardeman University,Freed-Hardeman University, ,158 E Main St,Henderson,TN,38340-2399,34950,30750,30750,25250,9,80,304,0,60,100,18403,863,804,308
Fresno Pacific University,Fresno Pacific University, ,1717 S Chestnut Ave,Fresno,CA,93702-4709,46569,52402,52402,39793,0,294,654,0,66,98,21151,1034,880,231
Friends University,Friends University, ,2100 W. University Ave.,Wichita,KS,67213,41887,41887,41887,33915,0,234,275,0,39,100,18719,792,375,173
Frostburg State University,Frostburg State University, ,101 Braddock Road,Frostburg,MD,21532-1099,23810,23810,37530,15228,21,221,1026,0,52,92,7510,3061,2397,737
Furman University,Furman University,Furman,3300 Poinsett Highway,Greenville,SC,29613-6162,65024,65024,65024,52312,0,47,623,0,80,94,30828,5469,3339,711
Galaxy Medical College,Galaxy Medical College, ,6400 Laurel Canyon Boulevard  Suite 115,North Hollywood,CA,91606-1593,,,,,,,,0,98,88,5920,61,61,48
Gallaudet University,Gallaudet University, ,800 Florida Ave  NE,Washington,DC,20002-3695,38176,38176,38176,24138,28,136,176,0,47,96,22470,496,283,201
Gannon University,Gannon University, ,109 W Sixth St,Erie,PA,16541-0001,48464,48464,48464,35814,56,468,558,23,67,99,21209,5124,4143,771
Gardner-Webb University,Gardner-Webb University,GWU,Main St,Boiling Springs,NC,28017-0997,46420,42200,42200,39200,88,351,556,21,53,100,24552,4204,2024,409
Geisinger-Lewistown Hospital School of Nursing,Geisinger-Lewistown Hospital School of Nursing, ,400 Highland Avenue,Lewistown,PA,17044,,33216,33216,27112,,,,0,68,83,4986,73,38,32
Gemini School of Visual Arts & Communication,Gemini School of Visual Arts & Communication, ,501 Prize Oaks Drive,Cedar Park,TX,78613,,,,,0,0,5,0,,,,3,3,2
Geneva College,Geneva College, ,3200 College Ave,Beaver Falls,PA,15010-3599,39450,33280,33280,29280,0,61,351,9,64,99,16805,1941,1229,306
George Fox University,George Fox University,GFU,414 N Meridian St,Newberg,OR,97132,50270,50270,50270,39020,146,357,626,0,67,98,18560,2888,2377,594
George Mason University,George Mason University,Mason,4400 University Dr,Fairfax,VA,22030-4444,30284,31868,55328,18206,435,2884,5507,0,70,76,9304,19557,15852,3711
George Washington University,George Washington University,GWU|GW,2121 I Street  NW,Washington,DC,20052,71930,71930,71930,58080,1149,4755,2712,196,82,81,29643,26512,11101,2845
Georgetown College,Georgetown College, ,400 East College Street,Georgetown,KY,40324-1696,51930,52204,52204,42960,0,246,185,0,58,100,29896,3629,1740,265
Georgetown University,Georgetown University,Georgetown|GU,37th and O St NW,Washington,DC,20057-0001,73840,,,,960,3889,1764,0,94,53,43071,22872,3320,1621
Georgia College & State University,Georgia College & State University,Georgia College,231 W Hancock Street,Milledgeville,GA,31061,28536,30178,48892,15486,17,337,1195,0,64,96,7652,4329,3367,1483
Georgia Institute of Technology-Main Campus,Georgia Institute of Technology-Main Campus,Georgia Tech,225 North Ave,Atlanta,GA,30332-0530,28776,31410,52006,17284,530,3013,3461,0,87,79,12716,35644,7673,3146
Georgia Southern University,Georgia Southern University, ,1332 Southern Drive,Statesboro,GA,30460-8126,23014,22090,32876,13764,105,1102,4155,146,50,90,6854,11522,7797,4347
Georgia Southwestern State University,Georgia Southwestern State University,GSW  Georgia Southwestern,800 Georgia Southwestern State University Dr.,Americus,GA,31709-4693,19424,19424,29885,15487,0,176,473,0,29,94,7284,1283,889,415
Georgia State University,Georgia State University, ,33 gilmer st,Atlanta,GA,30303-3083,26014,25062,39921,12802,485,2071,4809,0,54,92,9960,16348,11668,4997
Georgia State University-Perimeter College,Georgia State University-Perimeter College, ,33 Gilmer St.,Atlanta,GA,30303-3083,,20856,27053,10104,,,,1960,15,79,4987,13815,9060,3554
Georgian Court University,Georgian Court University, ,900 Lakewood Ave,Lakewood,NJ,08701-2697,51734,50808,50808,40926,0,270,390,0,54,100,24957,2087,1513,283
Gettysburg College,Gettysburg College, ,300 N Washington St,Gettysburg,PA,17325,68990,,,,0,0,604,0,82,86,31513,6269,2847,748
Gnomon,Gnomon, ,1015 N Cahuenga Blvd Ste 54301,Hollywood,CA,90038,,49011,49011,40767,0,0,1,0,100,57,6587,19,7,7
Goddard College,Goddard College, ,123 Pitkin Road,Plainfield,VT,05667-9432,,35142,35142,24772,0,135,61,0,57,100,5928,8,8,5
Gods Bible School and College,Gods Bible School and College, ,1810 Young Street,Cincinnati,OH,45202-6838,16040,20540,20540,11790,0,1,31,10,37,93,5352,118,58,46
Goldey-Beacom College,Goldey-Beacom College, ,4701 Limestone Rd,Wilmington,DE,19808,39590,38259,38259,31408,0,437,190,30,42,100,21117,898,478,139
Gonzaga University,Gonzaga University, ,E 502 Boone Ave,Spokane,WA,99258-0001,59795,59795,59795,47851,138,754,1110,0,86,100,21554,8402,5513,1196
Good Samaritan College of Nursing and Health Science,Good Samaritan College of Nursing and Health Science,Good Samaritan College,375 Dixmyth Ave,Cincinnati,OH,45220-2489,,31708,31708,20982,0,0,26,97,100,86,3292,315,140,97
Gordon College,Gordon College, ,255 Grapevine Rd,Wenham,MA,1984,50670,51270,51270,40400,0,85,374,0,70,100,20725,3062,2311,433
Gordon State College,Gordon State College,Gordon,419 College Dr,Barnesville,GA,30204,17067,14478,20660,9133,0,0,202,393,11,94,4912,2120,1496,878
Goshen College,Goshen College, ,1700 S Main St,Goshen,IN,46526-4794,47940,46210,46210,37290,0,28,199,0,68,100,25495,1248,824,200
Goucher College,Goucher College, ,1021 Dulaney Valley Rd,Baltimore,MD,21204-2794,62506,58200,58200,48200,0,142,300,0,71,99,30104,3154,2536,432
Governors State University,Governors State University,GSU,1 University Pky,University Park,IL,60484,25092,27064,36454,16196,49,596,891,0,,96,9021,1507,578,203
Grace Christian University,Grace Christian University, ,1011 Aldon SW,Wyoming,MI,49509,24255,24225,24225,17225,0,5,111,97,37,96,7598,853,242,97
Grace College and Theological Seminary,Grace College and Theological Seminary, ,200 Seminary Dr,Winona Lake,IN,46590-1274,35902,36968,36968,28568,4,141,399,24,57,100,13040,3739,3058,316
Grace College of Divinity,Grace College of Divinity, ,5117 Cliffdale Road,Fayetteville,NC,28314-2343,,21222,21222,10480,0,2,11,10,62,86,3520,13,12,9
Grace Mission University,Grace Mission University, ,1645 West Valencia Drive,Fullerton,CA,92833-3860,,17944,17944,7128,30,11,19,0,,100,3008,105,95,2
Graceland University-Lamoni,Graceland University-Lamoni, ,1 University Place,Lamoni,IA,50140,42440,42440,42440,33680,5,234,331,0,51,100,22207,3004,1744,267
Grambling State University,Grambling State University,GSU  Grambling,403 Main Street,Grambling,LA,71245,26091,26596,35619,15932,10,215,531,1,33,99,7407,3275,3103,923
Grand Canyon University,Grand Canyon University, ,3300 W Camelback Rd,Phoenix,AZ,85017,32100,32100,32100,23550,363,10305,10670,0,37,98,9855,31958,23392,4029
Grand River Technical School,Grand River Technical School,Chillicothe Area Vocational School,1200 Fair St,Chillicothe,MO,64601,,,,,,,,0,87,100,4766,68,49,43
Grand Valley State University,Grand Valley State University,Grand Valley|GVSU|Grand Valley State|,1 Campus Dr,Allendale,MI,49401-9403,24948,21904,27182,15584,80,1005,4605,0,66,90,6734,17133,14178,4311
Grand View University,Grand View University, ,1200 Grandview Ave,Des Moines,IA,50316,40388,41106,41106,31928,0,28,429,0,50,100,19516,1597,1469,329
Greater Lowell Technical School,Greater Lowell Technical School, ,250 Pawtucket Blvd,Tyngsboro,MA,1879,,,,,,,,0,100,50,4724,11,11,11
Green Country Technology Center,Green Country Technology Center, ,1100 OK-56 Loop,Okmulgee,OK,74447-1217,,,,,,,,0,51,87,4511,127,68,39
Green Mountain College,Green Mountain College, ,One Brennan Circle,Poultney,VT,05764-1199,50352,50352,50352,40630,0,63,108,0,52,100,29489,950,680,115
Greene County Career and Technology Center,Greene County Career and Technology Center,Greene County Vocational-Technical School,60 Zimmerman Drive,Waynesburg,PA,15370-8281,,,,,,,,0,67,100,7517,10,10,10
Greensboro College,Greensboro College, ,815 W Market St,Greensboro,NC,27401-1875,42440,41740,41740,31740,0,45,126,0,40,100,19660,1977,879,183
Greenville University,Greenville University, ,315 E. College Ave,Greenville,IL,62246,40348,40164,40164,33464,0,75,237,0,59,100,17578,2147,1039,221
Grinnell College,Grinnell College,Grinnell,1121 Park Street,Grinnell,IA,50112-1690,68302,,,,0,0,385,0,84,86,35006,7349,1792,463
Grove City College,Grove City College, ,100 Campus Dr,Grove City,PA,16127-2104,29550,29550,29550,19780,0,0,587,0,82,76,7025,1814,1434,608
Guilford College,Guilford College, ,5800 W Friendly Avenue,Greensboro,NC,27410-4108,52770,54570,54570,41570,0,0,269,0,59,100,25113,3211,2070,360
Gustavus Adolphus College,Gustavus Adolphus College, ,800 West College Avenue,Saint Peter,MN,56082-1498,57370,57370,57370,47460,0,0,520,0,78,96,31858,5168,3419,651
Gwynedd Mercy University,Gwynedd Mercy University, ,1325 Sumneytown Pike,Gwynedd Valley,PA,19437-0901,49920,47826,47826,40178,39,190,550,28,54,100,22599,1213,1116,276
Hallmark University,Hallmark University, ,10401 IH 10 W,San Antonio,TX,78230-1736,,,,,0,4,63,228,49,64,5247,194,100,80
Hamilton College,Hamilton College, ,198 College Hill Rd,Clinton,NY,13323,69990,,,,0,0,477,0,93,65,39861,6240,1328,481
Hamline University,Hamline University, ,1536 Hewitt Avenue,Saint Paul,MN,55104-1284,53538,53538,53538,43180,8,572,480,0,63,100,27574,4794,3219,538
Hampden-Sydney College,Hampden-Sydney College,HSC  Hampden-Sydney  H-SC,College Road,Hampden-Sydney,VA,23943-0128,62304,60154,60154,48746,0,0,246,0,66,100,26635,3239,1912,343
Hampshire College,Hampshire College, ,893 West St,Amherst,MA,01002-5001,67174,65174,65174,53568,0,0,293,0,66,96,34532,2291,1440,282
Hampton University,Hampton University, ,200 William R. Harvey Way,Hampton,VA,23668-0099,42380,44587,44587,31102,91,150,594,3,58,95,12161,19733,8652,922
Hannah E Mullins School of Practical Nursing,Hannah E Mullins School of Practical Nursing, ,230 North Lincoln Avenue  Suite 3,Salem,OH,44460-2906,,,,,,,,0,100,94,4122,30,24,24
Hannibal-LaGrange University,Hannibal-LaGrange University, ,2800 Palmyra Rd,Hannibal,MO,63401,34700,36604,36604,28456,0,33,165,36,37,97,13204,783,420,134
Hanover College,Hanover College, ,517 Ball Drive,Hanover,IN,47243,51950,51950,51950,40370,0,0,229,0,72,100,28081,3229,2562,356
Hardin-Simmons University,Hardin-Simmons University,HSU  Hardin-Simmons,2200 Hickory,Abilene,TX,79698-0001,41046,41046,41046,30990,33,105,291,0,48,100,17522,1766,1487,484
Harding University,Harding University, ,915 E. Market Ave.,Searcy,AR,72149-5615,30671,30671,30671,23667,87,321,921,0,67,99,10288,1927,1438,857
Harmony Health Care Institute,Harmony Health Care Institute, ,10 Al Paul Lane  Suite 204,Merrimack,NH,03054-0000,,,,,,,,0,100,100,3810,40,30,24
Hartwick College,Hartwick College, ,One Hartwick Drive,Oneonta,NY,13820-4020,59370,52610,52610,46610,0,0,274,0,58,100,33400,4165,3471,407
Harvard University,Harvard University, ,Massachusetts Hall,Cambridge,MA,2138,71650,,,,1547,4694,1817,4,98,77,53545,42749,2024,1653
Harvey Mudd College,Harvey Mudd College,Mudd  HMC,301 Platt Blvd.,Claremont,CA,91711,76947,,,,0,0,184,0,92,76,35660,4101,594,234
Haskell Indian Nations University,Haskell Indian Nations University,Haskell,155 Indian Ave,Lawrence,KS,66046-4800,8650,18846,18846,8380,0,0,88,114,45,80,5323,287,194,164
